shot,start,end,dur_s,type,tool,narration,visual,camera,transition
01,0:00,0:10,10,VID,Kling/Hailuo free,There's a hole in Antarctica. Two feet wide. It drops through six hundred metres of ice into water no light has ever touched.,"Narrow dark borehole in a vast empty ice plain, snow streaming across surface","Slow continuous push-in, horizon level",HARD CUT out. Match the dark circle to shot 02.
02,0:10,0:20,10,IMG,Free image gen,"In 2020, scientists lowered a robot down that hole. They wanted to measure melting. They found out they'd been measuring the wrong thing.",Yellow robot on a cable descending into the ice shaft,Push-in + slight downward drift (Ken Burns),Hard cut
03,0:20,0:30,10,GFX,DaVinci + NASA,The glacier is called Thwaites. Researchers have another name for it. They call it the Doomsday Glacier. That is not marketing.,"Satellite Antarctica, zoom to west coast, pin drop, TITLE CARD",Slow zoom in on map,Dip to black 8 frames after title
04,0:30,0:40,10,IMG,Free image gen,"Antarctica is not land with snow on top. It is rock, buried under an ice sheet up to four kilometres thick.","Cross-section: bedrock, thick ice sheet above, ocean to one side",Very slow push-in,Hard cut
05,0:40,0:50,10,GFX,DaVinci Fusion,"Stand on that surface, and the real ground sits further below you than a passenger jet flies above you.","Vertical scale: figure on ice, bedrock far below, jet far above","Static frame, elements animate on",Hard cut
06,0:50,1:00,10,GFX,DaVinci + NASA,Thwaites itself is roughly the size of Great Britain. One glacier. Larger than most countries on Earth. And it is moving.,"Thwaites outline on satellite base, Great Britain silhouette overlaid to scale",Slow zoom out to reveal scale,Hard cut
07,1:00,1:10,10,IMG,Free image gen,"Here is what makes it dangerous. The rock beneath Thwaites sits below sea level, and it slopes downward as you travel inland.","Side cross-section: bedrock sloping down left-to-right, ice above, water right","Slow lateral truck, left to right","Hard cut. KEEP THIS PLATE - reused in 08, 24, 25."
08,1:10,1:20,10,GFX,DaVinci Fusion,That means the ocean can reach underneath it. Warm water slides in from the sea and eats the glacier from below.,Shot 07 plate + warm current arrows pushing under the ice base,"Hold frame, arrows animate in",Hard cut
09,1:20,1:30,10,STOCK,Pexels / NASA,"From above, nothing looks wrong. The surface is white, solid, still. For decades, that surface was all we could actually see.",Aerial drift over featureless white ice plain,Aerial drift (already in footage),Dip to black - end of Act 1
10,1:30,1:40,10,IMG,Free image gen,"So a British and American team flew onto the ice with a hot water drill, and started melting a hole straight down.","Remote polar field camp: drill rig, hoses, crates, tents. No people",Slow lateral drift,Hard cut
11,1:40,1:50,10,IMG,Free image gen,"It took days. The borehole had to be kept warm the whole time, or it would freeze shut and swallow the equipment.","Insulated hose descending into a hole in ice, faint steam rising",Slow push-in,Hard cut
12,1:50,2:00,10,IMG,Free image gen,"The robot is called Icefin. Three and a half metres long, thin enough to fit down a shaft barely wider than a dinner plate.","Yellow cylindrical robot in profile, dark background, engineering presentation",Slow lateral truck,Hard cut. KEEP THIS PLATE - reused in 13.
13,2:00,2:10,10,GFX,DaVinci Fusion,"It carries cameras, sonar, and sensors for temperature and salt. A cable feeds power down, and sends data back up.",Shot 12 plate + animated component callout lines and labels,"Hold, labels animate on",Hard cut
14,2:10,2:20,10,VID,Kling/Hailuo free,"Icefin reached the bottom, swam sideways into the cavity, and became the first machine to see where Thwaites meets the sea.","Robot emerges from ice shaft into vast dark water, lamps switch on","Camera follows behind, widens out",Hard cut
